ID,NAME,PRICE,Quantity
841,24239 28 32,530,38
842,24240 28 32,425,100
843,24242 28 32,425,37
844,24243 28 34,545,40
845,24244 28 34,610,85
846,24245 28 34,510,28
847,24247 28 34,525,90
848,24248 28 32,495,50
849,24249 28 32,530,60
850,24250 28 32,525,65
851,24251 28 32,505,30
852,24253 28 32,445,70
853,24254 28 34,510,90
854,24255 28 32,585,51
855,24256 28 32,605,60
856,24257 28 34,810,48
857,24258 28 34,675,52
858,24259 28,540,8
859,24260 28 34,545,60
860,24261 28 34,555,44
861,24262 28 34,590,48
862,24263 28 34,630,60
863,24264 28 34,605,25
864,24265 28 34,630,55
865,24266 28 34,625,111
866,24267 36 40,430,30
867,24268 28 32,475,41
868,24269 28 34,470,25
869,24270 36 40,675,48
870,24271 28 30,455,60
871,24274 28 30,560,44
872,24275 28 30,505,60
873,24276 28 30,515,52
874,24277 28 30,505,56
875,24278 28 30,525,44
876,24279 28 34,635,40
877,2497 6 16,410,1
878,25 12 15,145,12
879,25 16 18,155,3
880,254 30 36,695,1
881,2564 6 16,195,-1
882,2591 12 20,410,-10
883,2596 10 20,310,6
884,2626 10 20,535,6
885,2642 10 20,550,6
886,2676 6 16,460,12
887,2677 6 16,460,12
888,2691 12 16,295,10
889,2694 12 20,450,-1
890,2695 12 20,450,5
891,2696 2 10,425,20
892,2701 22 24,485,8
893,2703 10 20,445,53
894,2707 12 20,450,9
895,2708 22 24,480,4
896,2709 12 20,485,25
897,2715 10 20,445,6
898,272 30 36,645,4
899,2721 2 10,425,40
900,2727 10 20,495,24
901,2731 6 16,255,12
902,2737 6 16,410,30
903,2738 12 20,425,40
904,2742 10 20,395,1
905,2754 6 16,460,48
906,2756 6 16,421,18
907,2763 16 20,445,36
908,2763 6 16,375,18
909,2765 16 20,435,72
910,2770 6 16,250,6
911,2772 12 20,260,-1
912,2773 6 16,335,30
913,2795 1 5,265,10
914,2796 1 5,265,30
915,2797 18 24,330,4
916,2800 22 30,330,20
917,2800 32 40,355,30
918,2801 18 24,330,24
919,2807 12 20,465,12
920,28105 FREE,535,6
921,28110 FREE,250,5
922,2819 6 16,385,24
923,2821 6 16,385,36
924,2827 6 16,425,52
925,2831 6 16,330,6
926,2841 6 16,460,18
927,2842 6 16,375,36
928,2844 10 20,395,36
929,2845 10 20,310,24
930,2847 18 24,365,28
931,2848 18 24,425,32
